,Item_Identifier,Item_Weight,Item_Fat_Content,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Sales_Boxcox,VisSqrt
1117,FDK38,6.65,Low Fat,Canned,149.3734,OUT045,2002,Medium,Tier 2,Supermarket Type1,296.9468,20.690819489638667,0.2310800489008084
1118,NCZ30,6.59,Low Fat,Household,121.4098,OUT010,1998,Medium,Tier 3,Grocery Store,241.0196,18.89137347300934,0.209352079043892
1119,FDK08,11.94125,Regular,Fruits and Vegetables,102.4016,OUT019,1985,Small,Tier 1,Grocery Store,202.4032,17.492944156238735,0.46275240247890664
1120,DRY23,9.395,Regular,Soft Drinks,42.9112,OUT035,2004,Small,Tier 2,Supermarket Type1,426.112,24.16841583027284,0.33026616841571893
1121,FDT31,19.75,Low Fat,Fruits and Vegetables,188.2872,OUT046,1997,Small,Tier 1,Supermarket Type1,2647.2208,51.51502827245004,0.11157192299140496
1122,FDU52,7.56,Low Fat,Frozen Foods,154.463,OUT018,2009,Medium,Tier 3,Supermarket Type2,2503.408,50.36258161435263,0.2530427552806047
1123,NCG19,20.25,Low Fat,Household,234.8616,OUT013,1987,High,Tier 3,Supermarket Type1,2812.3392,52.79170566015187,0.3844612594267464
1124,NCR30,20.6,Low Fat,Household,76.3696,OUT045,2002,High,Tier 2,Supermarket Type1,372.848,22.825888381216892,0.26671510643381263
1125,FDN23,6.575,Regular,Breads,145.4444,OUT045,2002,High,Tier 2,Supermarket Type1,2612.5992,51.24117476856034,0.27506524680518984
1126,FDQ01,19.7,Regular,Canned,254.1014,OUT045,2002,High,Tier 2,Supermarket Type1,4845.0266,65.7098852353951,0.4012823818709214
1127,FDO22,13.5,Regular,Snack Foods,81.096,OUT010,1998,High,Tier 3,Grocery Store,159.792,15.74369283118874,0.17289619429009997
1128,DRE13,6.28,Low Fat,Soft Drinks,85.8198,OUT045,2002,High,Tier 2,Supermarket Type1,872.198,32.67782916533528,0.1666171929903994
1129,FDL44,18.25,Low Fat,Fruits and Vegetables,160.2894,OUT035,2004,Small,Tier 2,Supermarket Type1,3235.788,55.86813771971448,0.1107826565848644
1130,FDT34,9.3,Low Fat,Snack Foods,106.7964,OUT035,2004,Small,Tier 2,Supermarket Type1,841.5712,32.19520935448848,0.4175132417061763
1131,DRM23,16.6,Low Fat,Hard Drinks,170.6422,OUT035,2004,Small,Tier 2,Supermarket Type1,1379.5376,39.49543585698248,0.3683850607720134
1132,FDF32,16.35,Low Fat,Fruits and Vegetables,198.9426,OUT045,2002,Small,Tier 2,Supermarket Type1,3559.3668,58.055658464899466,0.26118771984915373
1133,NCE18,10.0,Low Fat,Household,251.675,OUT045,2002,Small,Tier 2,Supermarket Type1,4244.475,62.31342243500459,0.14652232594386427
1134,FDA51,11.94125,Regular,Dairy,113.2518,OUT027,1985,Medium,Tier 3,Supermarket Type3,3415.554,57.099196106266355,0.4048235776236359
1135,DRZ24,7.535,Low Fat,Soft Drinks,118.344,OUT017,2007,Medium,Tier 2,Supermarket Type1,3115.944,55.02390412493876,0.286792857302967
1136,FDT48,4.92,Low Fat,Baking Goods,196.5084,OUT049,1999,Medium,Tier 1,Supermarket Type1,3769.7596,59.41306030952617,0.21453782650152864
1137,FDE58,18.5,Low Fat,Snack Foods,118.3124,OUT049,1999,Medium,Tier 1,Supermarket Type1,1540.6612,41.32609547078771,0.22836303334821947
1138,DRA12,11.6,Low Fat,Soft Drinks,142.3154,OUT013,1987,High,Tier 3,Supermarket Type1,2552.6772,50.761877146584766,0.20226671500768484
1139,FDP60,17.35,Low Fat,Baking Goods,102.0016,OUT017,2007,High,Tier 2,Supermarket Type1,1619.2256,42.176145968076526,0.23713949902957965
1140,FDT10,16.7,Regular,Snack Foods,60.9562,OUT045,2002,High,Tier 2,Supermarket Type1,829.5868,32.00342158513571,0.2493397962620488
1141,FDE05,10.895,Regular,Frozen Foods,147.7102,OUT013,1987,High,Tier 3,Supermarket Type1,1166.4816,36.860157990243664,0.1800750926696971
1142,FDC32,18.35,Low Fat,Fruits and Vegetables,91.4462,OUT045,2002,High,Tier 2,Supermarket Type1,1665.8316,42.668482373869004,0.3151348869928558
1143,FDJ22,18.75,Low Fat,Snack Foods,193.6504,OUT017,2007,High,Tier 2,Supermarket Type1,2876.256,53.273515199183635,0.2304538131600343
1144,NCH18,9.3,Low Fat,Household,246.1802,OUT018,2009,Medium,Tier 3,Supermarket Type2,2702.4822,51.94761683034821,0.21176203861882328
1145,DRE37,11.94125,Low Fat,Soft Drinks,189.4872,OUT019,1985,Small,Tier 1,Grocery Store,189.0872,16.972916719214588,0.4061604916778588
1146,DRC13,8.26,Regular,Soft Drinks,124.873,OUT035,2004,Small,Tier 2,Supermarket Type1,2956.152,53.866612563879855,0.18009840921007603
1147,FDY55,16.75,Low Fat,Fruits and Vegetables,258.3988,OUT018,2009,Medium,Tier 3,Supermarket Type2,1541.9928,41.340722396811806,0.28574721345972914
1148,NCW29,11.94125,Low Fat,Health and Hygiene,131.831,OUT027,1985,Medium,Tier 3,Supermarket Type3,3635.268,58.550901470472176,0.16947916391108378
1149,NCT05,10.895,Low Fat,Health and Hygiene,255.6672,OUT045,2002,Medium,Tier 2,Supermarket Type1,4346.3424,62.90945289454814,0.14489423383972186
1150,FDN50,16.85,Regular,Canned,93.712,OUT049,1999,Medium,Tier 1,Supermarket Type1,466.06,25.108909451489776,0.16297563314802616
1151,FDU60,20.0,Regular,Baking Goods,169.6132,OUT010,1998,Medium,Tier 3,Grocery Store,169.1132,16.148820758126952,0.3166418607828093
1152,FDX02,16.0,Low Fat,Dairy,225.0404,OUT013,1987,High,Tier 3,Supermarket Type1,5851.0504,70.86177972163023,0.23877312662860534
1153,FDL34,16.0,Low Fat,Snack Foods,141.2496,OUT049,1999,Medium,Tier 1,Supermarket Type1,2681.8424,51.786689342147355,0.20250816773651378
1154,DRF27,8.93,low fat,Dairy,152.234,OUT017,2007,Medium,Tier 2,Supermarket Type1,3828.35,59.78274276201884,0.16905032386836766
1155,DRF03,11.94125,Low Fat,Dairy,39.7138,OUT027,1985,Medium,Tier 3,Supermarket Type3,1096.5726,35.93145665195933,0.21234105585119425
1156,NCO41,11.94125,Low Fat,Health and Hygiene,96.9384,OUT027,1985,Medium,Tier 3,Supermarket Type3,2167.8448,47.505071565591315,0.13695833673055466
1157,FDQ59,9.8,Regular,Breads,85.8908,OUT045,2002,Medium,Tier 2,Supermarket Type1,1845.5976,44.49202141531767,0.23769916911928826
1158,NCZ53,9.6,Low Fat,Health and Hygiene,186.6214,OUT018,2009,Medium,Tier 3,Supermarket Type2,1884.214,44.86932827070915,0.1567701342730815
1159,FDZ33,11.94125,Low Fat,Snack Foods,146.4076,OUT019,1985,Small,Tier 1,Grocery Store,147.8076,15.20086373201809,0.433633914725313
1160,FDD34,7.945,Low Fat,Snack Foods,161.421,OUT045,2002,Small,Tier 2,Supermarket Type1,3425.541,57.16640796143163,0.12612884285523276
1161,NCM06,7.475,Low Fat,Household,156.0656,OUT049,1999,Medium,Tier 1,Supermarket Type1,1853.5872,44.57048015336932,0.27540086056510427
1162,FDY43,14.85,Low Fat,Fruits and Vegetables,169.7474,OUT018,2009,Medium,Tier 3,Supermarket Type2,673.7896,29.337943874338865,0.31432958499002284
1163,FDT20,10.5,Low Fat,Fruits and Vegetables,39.2164,OUT049,1999,Medium,Tier 1,Supermarket Type1,540.6296,26.739858946845807,0.2036168067719362
1164,FDG46,8.63,Regular,Snack Foods,113.5518,OUT013,1987,High,Tier 3,Supermarket Type1,2732.4432,52.17988277290215,0.18133469331597857
1165,FDH10,21.0,Low Fat,Snack Foods,193.8478,OUT017,2007,High,Tier 2,Supermarket Type1,1162.4868,36.80802571571096,0.2226744237670775
1166,FDF24,15.5,Regular,Baking Goods,82.7934,OUT035,2004,Small,Tier 2,Supermarket Type1,1228.401,37.65455403073049,0.15926603529943226
1167,FDG57,14.7,Low Fat,Fruits and Vegetables,48.2034,OUT046,1997,Small,Tier 1,Supermarket Type1,874.8612,32.71930064449429,0.2688835435648675
1168,FDN44,13.15,LF,Fruits and Vegetables,157.892,OUT017,2007,Small,Tier 2,Supermarket Type1,1917.504,45.19079630106652,0.15140855986370125
1169,FDD32,17.7,Regular,Fruits and Vegetables,82.6276,OUT013,1987,High,Tier 3,Supermarket Type1,731.0484,30.35770070397528,0.20223237129599206
1170,FDI04,11.94125,Regular,Frozen Foods,198.5426,OUT019,1985,Small,Tier 1,Grocery Store,790.9704,31.37359630126239,0.357295755642297
1171,FDA56,9.21,Low Fat,Fruits and Vegetables,123.1414,OUT046,1997,Small,Tier 1,Supermarket Type1,4264.449,62.43097852617077,0.09362043580330098
1172,DRG51,12.1,Low Fat,Dairy,166.0526,OUT017,2007,Small,Tier 2,Supermarket Type1,1480.0734,40.652174193116,0.1077260135714675
1173,FDZ04,9.31,Low Fat,Frozen Foods,64.551,OUT017,2007,Small,Tier 2,Supermarket Type1,1581.275,41.768770796662864,0.19537088575322578
1174,FDT13,14.85,Low Fat,Canned,188.2214,OUT035,2004,Small,Tier 2,Supermarket Type1,3014.7424,54.29531638609677,0.13626492211864358
1175,FDY56,11.94125,Regular,Fruits and Vegetables,223.7062,OUT027,1985,Medium,Tier 3,Supermarket Type3,4965.5364,66.35974540266768,0.2492171222047153
1176,FDB51,6.92,LF,Dairy,64.2852,OUT017,2007,Medium,Tier 2,Supermarket Type1,438.0964,24.456054011670012,0.1966509293138479
1177,NCY29,13.65,Low Fat,Health and Hygiene,55.593,OUT013,1987,High,Tier 3,Supermarket Type1,282.965,20.26197334381328,0.27779460217938
1178,FDL34,16.0,Low Fat,Snack Foods,142.6496,OUT045,2002,High,Tier 2,Supermarket Type1,1834.9448,44.38708436850761,0.20255600953810282
1179,NCQ38,16.35,Low Fat,Others,105.628,OUT049,1999,Medium,Tier 1,Supermarket Type1,1065.28,35.503950710371385,0.11570311577481394
1180,NCR41,11.94125,Low Fat,Health and Hygiene,93.7094,OUT027,1985,Medium,Tier 3,Supermarket Type3,4189.2136,61.98640180248966,0.13392802171315754
1181,FDB11,16.0,Low Fat,Starchy Foods,225.6404,OUT049,1999,Medium,Tier 1,Supermarket Type1,2925.5252,53.640436935669875,0.24686561526466175
1182,FDG26,18.85,Low Fat,Canned,257.833,OUT035,2004,Small,Tier 2,Supermarket Type1,5382.993,68.53878995870942,0.20649888135290226
1183,FDH24,20.7,Low Fat,Baking Goods,156.5288,OUT035,2004,Small,Tier 2,Supermarket Type1,1571.288,41.6605702057625,0.14637992348679515
1184,FDX44,9.3,Low Fat,Fruits and Vegetables,88.5172,OUT013,1987,High,Tier 3,Supermarket Type1,1427.4752,40.05323508817133,0.20719746378756665
1185,FDT52,9.695,Regular,Frozen Foods,244.6144,OUT017,2007,High,Tier 2,Supermarket Type1,2695.1584,51.89060026906714,0.2183983951406237
1186,FDT04,17.25,Low Fat,Frozen Foods,39.3822,OUT017,2007,High,Tier 2,Supermarket Type1,314.2576,21.204915114156012,0.3280963425580968
1187,FDO58,19.6,Low Fat,Snack Foods,166.1526,OUT046,1997,Small,Tier 1,Supermarket Type1,2960.1468,53.89600738313844,0.19894012415799886
1188,FDR60,14.3,Low Fat,Baking Goods,75.9328,OUT046,1997,Small,Tier 1,Supermarket Type1,1158.492,36.755783223088436,0.36113033381315396
1189,NCL54,12.6,Low Fat,Household,175.2054,OUT045,2002,Small,Tier 2,Supermarket Type1,3502.108,57.67774271936614,0.2879611814116618
1190,FDW50,13.1,Low Fat,Dairy,167.2158,OUT013,1987,High,Tier 3,Supermarket Type1,3008.0844,54.246859397110526,0.27480020742350253
1191,FDK43,11.94125,Low Fat,Meat,125.802,OUT019,1985,Small,Tier 1,Grocery Store,253.004,19.297011684032558,0.21678264921344603
1192,FDQ32,17.85,Regular,Fruits and Vegetables,123.8388,OUT018,2009,Medium,Tier 3,Supermarket Type2,866.8716,32.59465212757604,0.21632928604329096
1193,FDE29,8.905,LF,Frozen Foods,58.8878,OUT046,1997,Small,Tier 1,Supermarket Type1,1151.1682,36.65971701658679,0.37832409915309384
1194,NCN07,18.5,Low Fat,Others,133.2284,OUT045,2002,Small,Tier 2,Supermarket Type1,2768.3964,52.45654514052891,0.18442759826013025
1195,FDB37,20.25,Regular,Baking Goods,240.7538,OUT013,1987,High,Tier 3,Supermarket Type1,3364.9532,56.75678608920015,0.15139925693344733
1196,FDD21,10.3,Regular,Fruits and Vegetables,112.7176,OUT049,1999,Medium,Tier 1,Supermarket Type1,343.5528,22.03666787755406,0.17497644698644443
1197,FDX16,17.85,Low Fat,Frozen Foods,151.505,OUT013,1987,High,Tier 3,Supermarket Type1,2546.685,50.71356863456771,0.25642792359647576
1198,FDN46,7.21,Regular,Snack Foods,100.5332,OUT049,1999,Medium,Tier 1,Supermarket Type1,1127.8652,36.35152898964711,0.3805999763531259
1199,FDR48,11.94125,Low Fat,Baking Goods,150.8024,OUT027,1985,Medium,Tier 3,Supermarket Type3,4402.2696,63.2330399081586,0.36175601308063976
1200,FDW37,11.94125,Low Fat,Canned,89.7488,OUT027,1985,Medium,Tier 3,Supermarket Type3,1901.5248,45.03692338422596,0.3513540536268224
1201,FDV40,17.35,Low Fat,Frozen Foods,74.5038,OUT035,2004,Small,Tier 2,Supermarket Type1,739.038,30.496039719442862,0.12119820955773232
1202,FDZ57,10.0,Regular,Snack Foods,129.6994,OUT018,2009,Medium,Tier 3,Supermarket Type2,1413.4934,39.89174862220307,0.19472581236189515
1203,FDY46,18.6,Low Fat,Snack Foods,185.0898,OUT049,1999,Medium,Tier 1,Supermarket Type1,2993.4368,54.14002150660689,0.21900775100438796
1204,FDX45,16.75,Low Fat,Snack Foods,155.263,OUT049,1999,Medium,Tier 1,Supermarket Type1,1721.093,43.24140467272932,0.3240660688810231
1205,FDB33,17.75,Low Fat,Fruits and Vegetables,160.7262,OUT035,2004,Small,Tier 2,Supermarket Type1,2864.2716,53.18368087719294,0.12073695374656426
1206,FDT58,9.0,Low Fat,Snack Foods,169.4816,OUT010,1998,Small,Tier 3,Grocery Store,503.3448,25.942965291776332,0.37930274715588336
1207,FDM39,6.42,Low Fat,Dairy,178.6002,OUT049,1999,Medium,Tier 1,Supermarket Type1,3582.004,58.20403611979876,0.23141692677935208
1208,NCY41,16.75,LF,Health and Hygiene,37.6532,OUT045,2002,Medium,Tier 2,Supermarket Type1,575.2512,27.45011445539822,0.27547997204878616
1209,NCL31,7.39,Low Fat,Others,142.747,OUT046,1997,Small,Tier 1,Supermarket Type1,3149.234,55.260386469124576,0.34681549705859455
1210,NCJ31,19.2,Low Fat,Others,243.0196,OUT046,1997,Small,Tier 1,Supermarket Type1,3374.2744,56.8200982224874,0.42738012588327035
1211,FDN56,5.46,Regular,Fruits and Vegetables,144.2786,OUT035,2004,Small,Tier 2,Supermarket Type1,288.9572,20.44732381605535,0.3271650088258217
1212,FDJ44,12.3,Regular,Fruits and Vegetables,176.1396,OUT013,1987,High,Tier 3,Supermarket Type1,3663.2316,58.731756329984215,0.32594289070326415
1213,FDS50,17.0,Low Fat,Dairy,220.5114,OUT045,2002,High,Tier 2,Supermarket Type1,5321.0736,68.22230654217937,0.23568155846395789
1214,NCQ41,11.94125,Low Fat,Health and Hygiene,194.5794,OUT027,1985,Medium,Tier 3,Supermarket Type3,3511.4292,57.739521324302366,0.1392338213222635
1215,FDA49,19.7,Low Fat,Canned,88.1198,OUT046,1997,Small,Tier 1,Supermarket Type1,1744.396,43.479608749112266,0.2547974960630501
1216,NCZ06,19.6,Low Fat,Household,254.9698,OUT017,2007,Small,Tier 2,Supermarket Type1,2536.698,50.632898964623074,0.30772435392734193
1217,NCM43,14.5,Low Fat,Others,162.421,OUT018,2009,Medium,Tier 3,Supermarket Type2,1957.452,45.572062409787506,0.1398381385745677
1218,FDH19,19.35,Low Fat,Meat,172.4738,OUT013,1987,High,Tier 3,Supermarket Type1,1911.5118,45.13318664279083,0.18182666746107404
1219,FDS15,9.195,Regular,Meat,106.7596,OUT049,1999,Medium,Tier 1,Supermarket Type1,4098.6648,61.44477965256951,0.2796103789203827
1220,FDJ20,20.7,Regular,Fruits and Vegetables,123.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1981.4208,45.798530890419435,0.31714824451666135
1221,NCI31,20.0,low fat,Others,38.319,OUT010,1998,Medium,Tier 3,Grocery Store,146.476,15.138901783914232,0.36895120138034515
1222,FDU20,11.94125,Regular,Fruits and Vegetables,122.1098,OUT027,1985,Medium,Tier 3,Supermarket Type3,3374.2744,56.8200982224874,0.14612885409801857
1223,DRK13,11.8,Low Fat,Soft Drinks,199.8084,OUT046,1997,Small,Tier 1,Supermarket Type1,2380.9008,49.34833264232049,0.3393634909650713
1224,DRJ24,11.8,Low Fat,Soft Drinks,184.2924,OUT045,2002,Small,Tier 2,Supermarket Type1,1850.924,44.54435037514462,0.3369852489353206
1225,FDI20,19.1,Low Fat,Fruits and Vegetables,212.1586,OUT045,2002,Small,Tier 2,Supermarket Type1,5909.6408,71.1444131257088,0.19657560377625705
1226,FDF10,15.5,Regular,Snack Foods,145.6418,OUT045,2002,Small,Tier 2,Supermarket Type1,2207.127,47.85303488783666,0.3965433570241721
1227,FDQ45,9.5,Regular,Snack Foods,185.3608,OUT046,1997,Small,Tier 1,Supermarket Type1,2021.3688,46.1722665959841,0.10448469744417122
1228,FDQ10,12.85,Low Fat,Snack Foods,172.0422,OUT035,2004,Small,Tier 2,Supermarket Type1,5345.7082,68.34848901808442,0.18213444759298006
1229,FDM36,11.65,Regular,Baking Goods,171.1422,OUT035,2004,Small,Tier 2,Supermarket Type1,2931.5174,53.68480279229873,0.24232153432990639
1230,FDD50,18.85,Low Fat,Canned,168.4132,OUT013,1987,High,Tier 3,Supermarket Type1,2874.9244,53.26354498182454,0.3761972195537867
1231,FDG17,6.865,Regular,Frozen Foods,244.4486,OUT049,1999,Medium,Tier 1,Supermarket Type1,6353.0636,73.2296263840591,0.18946222314751823
1232,FDY58,11.65,Low Fat,Snack Foods,227.3694,OUT049,1999,Medium,Tier 1,Supermarket Type1,4567.388,64.17389956488415,0.19995160414460295
1233,FDL46,20.35,Low Fat,Snack Foods,116.8466,OUT046,1997,Small,Tier 1,Supermarket Type1,2356.932,49.14616449015785,0.23250145590942006
1234,FDC51,10.895,Regular,Dairy,121.873,OUT049,1999,Medium,Tier 1,Supermarket Type1,2463.46,50.0352683493408,0.09816731125990974
1235,FDF16,7.3,Low Fat,Frozen Foods,147.2076,OUT049,1999,Medium,Tier 1,Supermarket Type1,1921.4988,45.22914129595334,0.29371122893073054
1236,NCV54,11.1,Low Fat,Household,116.5124,OUT013,1987,High,Tier 3,Supermarket Type1,1066.6116,35.52229851996004,0.1818828991411782
1237,FDE35,7.06,Regular,Starchy Foods,60.2904,OUT045,2002,High,Tier 2,Supermarket Type1,644.4944,28.795518515286158,0.2097365704878384
1238,FDA23,9.8,Low Fat,Baking Goods,99.4016,OUT035,2004,Small,Tier 2,Supermarket Type1,2428.8384,49.748947975038334,0.21720523934748903
1239,FDI46,9.5,Low Fat,Snack Foods,251.9724,OUT045,2002,Small,Tier 2,Supermarket Type1,2516.724,50.47097209724637,0.27293963251972037
1240,FDZ21,17.6,Regular,Snack Foods,97.341,OUT013,1987,High,Tier 3,Supermarket Type1,965.41,34.0855458227908,0.19796267577500565
1241,DRK13,11.8,Low Fat,Soft Drinks,198.3084,OUT017,2007,High,Tier 2,Supermarket Type1,4563.3932,64.15138580133525,0.3403219270044174
1242,FDX36,9.695,Regular,Baking Goods,226.9404,OUT017,2007,High,Tier 2,Supermarket Type1,2700.4848,51.932076286552395,0.3591780422019141
1243,FDY22,16.5,Regular,Snack Foods,143.9128,OUT018,2009,Medium,Tier 3,Supermarket Type2,1581.9408,41.77596921803446,0.4004638622897202
1244,FDR32,11.94125,Regular,Fruits and Vegetables,226.7694,OUT027,1985,Medium,Tier 3,Supermarket Type3,6165.9738,72.3611003673116,0.2922198282115709
1245,DRF25,9.0,Low Fat,Soft Drinks,34.919,OUT046,1997,Small,Tier 1,Supermarket Type1,476.047,25.336222288816373,0.1972948326743506
1246,FDK20,12.6,Regular,Fruits and Vegetables,124.5072,OUT046,1997,Small,Tier 1,Supermarket Type1,2450.144,49.9254396124562,0.20385694248663694
1247,DRI11,11.94125,Low Fat,Hard Drinks,115.9834,OUT019,1985,Small,Tier 1,Grocery Store,345.5502,22.09176342828913,0.2454332190230165
1248,FDH05,14.35,Regular,Frozen Foods,233.5984,OUT045,2002,Small,Tier 2,Supermarket Type1,1853.5872,44.57048015336932,0.3018244821083936
1249,FDA46,13.6,Low Fat,Snack Foods,193.6136,OUT045,2002,Small,Tier 2,Supermarket Type1,4471.5128,63.63019016021668,0.3433278666231449
1250,DRD24,13.85,Low Fat,Soft Drinks,143.3154,OUT046,1997,Small,Tier 1,Supermarket Type1,1985.4156,45.83611166527115,0.17548528428332674
1251,FDL39,16.1,Regular,Dairy,181.9318,OUT017,2007,Small,Tier 2,Supermarket Type1,5954.2494,71.35844722227645,0.25236795161034214
1252,FDD52,18.25,Regular,Dairy,110.157,OUT018,2009,Medium,Tier 3,Supermarket Type2,1867.569,44.707284350370585,0.42900063519766496
1253,FDR55,12.15,reg,Fruits and Vegetables,190.6872,OUT017,2007,Medium,Tier 2,Supermarket Type1,2269.0464,48.39387457955862,0.3644594078906456
1254,DRI13,15.35,Low Fat,Soft Drinks,216.4508,OUT017,2007,Medium,Tier 2,Supermarket Type1,5426.27,68.75866190175378,0.1429753090571935
1255,FDG31,11.94125,Low Fat,Meat,64.4826,OUT027,1985,Medium,Tier 3,Supermarket Type3,2518.7214,50.48720024584637,0.1941980303710622
1256,FDP04,15.35,Low Fat,Frozen Foods,65.2168,OUT045,2002,Medium,Tier 2,Supermarket Type1,958.752,33.98784046827757,0.11764686141159908
1257,FDH35,18.25,Low Fat,Starchy Foods,162.9526,OUT013,1987,High,Tier 3,Supermarket Type1,1151.1682,36.65971701658679,0.24535381798537392
1258,NCB42,11.8,Low Fat,Health and Hygiene,117.2492,OUT035,2004,Small,Tier 2,Supermarket Type1,2432.8332,49.78211242285478,0.09251787394876733
1259,FDQ14,9.27,Low Fat,Dairy,147.905,OUT049,1999,Medium,Tier 1,Supermarket Type1,1647.855,42.47959658522476,0.2487636488717755
1260,FDI19,11.94125,Low Fat,Meat,242.8512,OUT027,1985,Medium,Tier 3,Supermarket Type3,5816.4288,70.69395076759754,0.22822273112028083
1261,FDJ55,12.8,Regular,Meat,224.8404,OUT010,1998,Medium,Tier 3,Grocery Store,1575.2828,41.70390101765665,0.19845904363369285
1262,DRN59,15.0,Low Fat,Hard Drinks,45.206,OUT049,1999,Medium,Tier 1,Supermarket Type1,792.302,31.395625260756994,0.2534587639045058
1263,NCR06,12.5,Low Fat,Household,42.8112,OUT013,1987,High,Tier 3,Supermarket Type1,639.168,28.695277262254205,0.0822162940055072
1264,NCF42,17.35,Low Fat,Household,176.2712,OUT013,1987,High,Tier 3,Supermarket Type1,2988.1104,54.101091718759264,0.40895448279729124
1265,FDG24,7.975,Low Fat,Baking Goods,84.725,OUT018,2009,Medium,Tier 3,Supermarket Type2,1747.725,43.51347792520994,0.12120540416994616
1266,FDB58,10.5,Regular,Snack Foods,142.0154,OUT018,2009,Medium,Tier 3,Supermarket Type2,2410.8618,49.5992916051211,0.11641067390922535
1267,FDQ56,11.94125,Low Fat,Fruits and Vegetables,82.3908,OUT027,1985,Medium,Tier 3,Supermarket Type3,3691.1952,58.91176469246845,0.324169640774703
1268,NCV41,14.35,Low Fat,Health and Hygiene,112.5228,OUT046,1997,Small,Tier 1,Supermarket Type1,1989.4104,45.87364599708488,0.13053266640960032
1269,FDW19,12.35,Regular,Fruits and Vegetables,110.657,OUT017,2007,Small,Tier 2,Supermarket Type1,2087.283,46.77913233673019,0.19676939548618835
1270,FDO56,10.195,Regular,Fruits and Vegetables,119.1808,OUT010,1998,Small,Tier 3,Grocery Store,351.5424,22.25588500816737,0.2743931066918409
1271,FDY20,12.5,Regular,Fruits and Vegetables,92.2488,OUT018,2009,Medium,Tier 3,Supermarket Type2,1358.232,39.24369977875403,0.28650617270837286
1272,DRM37,11.94125,LF,Soft Drinks,198.5768,OUT027,1985,Medium,Tier 3,Supermarket Type3,6897.688,75.67178420893684,0.30972730263895043
1273,FDV34,10.695,Regular,Snack Foods,72.9038,OUT045,2002,Medium,Tier 2,Supermarket Type1,1034.6532,35.07800059199357,0.10699826634109545
1274,NCX18,14.15,Low Fat,Household,195.011,OUT035,2004,Small,Tier 2,Supermarket Type1,1964.11,45.63514048427199,0.09376737172385712
1275,FDY10,17.6,Low Fat,Snack Foods,114.9176,OUT045,2002,Small,Tier 2,Supermarket Type1,1946.7992,45.47086263325067,0.22173720481687326
1276,NCZ17,11.94125,Low Fat,Health and Hygiene,39.8506,OUT027,1985,Medium,Tier 3,Supermarket Type3,1480.0734,40.652174193116,0.2811529690399872
1277,FDT12,6.215,Regular,Baking Goods,227.4062,OUT013,1987,High,Tier 3,Supermarket Type1,5191.2426,67.55128590758957,0.22266658258481448
1278,FDD57,18.1,Low Fat,Fruits and Vegetables,96.0094,OUT046,1997,Small,Tier 1,Supermarket Type1,1808.9786,44.12972180110808,0.14966493243241719
1279,FDK45,11.65,Low Fat,Seafood,111.586,OUT045,2002,Small,Tier 2,Supermarket Type1,3395.58,56.96440915312775,0.18419243198351012
1280,FDJ57,7.42,Regular,Seafood,185.0582,OUT045,2002,Small,Tier 2,Supermarket Type1,5201.2296,67.60326658899436,0.14702855845039087
1281,NCI31,20.0,Low Fat,Others,36.819,OUT049,1999,Medium,Tier 1,Supermarket Type1,768.999,31.006779042059666,0.28540077084689175
1282,FDZ48,17.75,LF,Baking Goods,112.4544,OUT049,1999,Medium,Tier 1,Supermarket Type1,2348.9424,49.07849446230295,0.2758218990580697
1283,FDI16,14.0,Regular,Frozen Foods,54.564,OUT046,1997,Small,Tier 1,Supermarket Type1,1597.92,41.94817570601005,0.36847754477037
1284,DRG15,6.13,Low Fat,Dairy,61.5536,OUT045,2002,Medium,Tier 2,Supermarket Type1,796.2968,31.461575932104797,0.27729321304352184
1285,FDX36,9.695,Regular,Baking Goods,226.5404,OUT045,2002,Medium,Tier 2,Supermarket Type1,4500.808,63.79707736034588,0.3585295036674109
1286,FDD40,20.25,Regular,Dairy,191.5162,OUT046,1997,Small,Tier 1,Supermarket Type1,3078.6592,54.75719307389494,0.12162794497976195
1287,FDA04,11.94125,Regular,Frozen Foods,259.7962,OUT027,1985,Medium,Tier 3,Supermarket Type3,5697.9164,70.11476635929661,0.257695271590303
1288,FDL21,15.85,Regular,Snack Foods,40.848,OUT013,1987,High,Tier 3,Supermarket Type1,679.116,29.435000158622085,0.08450128993098271
1289,FDS21,19.85,Regular,Snack Foods,62.8194,OUT013,1987,High,Tier 3,Supermarket Type1,928.791,33.542925862800686,0.14442568677350992
1290,DRF23,4.61,Low Fat,Hard Drinks,172.5396,OUT017,2007,High,Tier 2,Supermarket Type1,3663.2316,58.731756329984215,0.35120661297874217
1291,FDM46,7.365,Low Fat,Snack Foods,93.912,OUT035,2004,Small,Tier 2,Supermarket Type1,1304.968,38.603551473670755,0.39992198864278516
1292,DRG49,11.94125,Low Fat,Soft Drinks,242.8486,OUT027,1985,Medium,Tier 3,Supermarket Type3,3420.8804,57.13505743684195,0.2590919547187832
1293,FDG26,18.85,low fat,Canned,255.933,OUT045,2002,Medium,Tier 2,Supermarket Type1,3844.995,59.88713118613671,0.20672771463932937
1294,FDR51,11.94125,Regular,Meat,148.4708,OUT027,1985,Medium,Tier 3,Supermarket Type3,3761.77,59.36237613523611,0.4154872838005996
